TERM,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240
6,374.021,386.696,399.371,412.046,424.721,437.396,450.071,462.746,475.422,488.097,500.772,513.447,526.122,540.097,554.072,568.047,582.022,595.998,609.973,623.948,637.923,651.898,665.873,679.848,693.823,709.203,724.583,739.963,755.342,770.722,786.102,801.481,816.861,832.241,847.621,863.000,878.380,714.976,718.238,721.500,724.762,728.024,731.286,734.548,737.810,741.072,744.334,747.596,750.858,586.869,589.546,592.224,594.901,597.579,600.257,602.934,605.612,608.289,610.967,613.644,616.322,451.716,453.777,455.838,457.899,459.960,462.021,464.081,466.142,468.203,470.264,472.325,474.386,309.129,310.540,311.950,313.361,314.771,316.182,317.592,319.002,320.413,321.823,323.234,324.644,158.701,159.425,160.149,160.873,161.597,162.322,163.046,163.770,164.494,165.218,165.942,166.666,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,303.876,314.174,324.472,334.770,345.068,355.366,365.664,375.962,386.260,396.558,406.856,417.154,427.452,438.806,450.160,461.515,472.869,484.223,495.577,506.931,518.285,529.640,540.994,552.348,563.702,576.198,588.693,601.188,613.684,626.179,638.675,651.170,663.665,676.161,688.656,701.151,713.647,727.375,741.102,754.830,768.558,782.286,796.013,809.741,823.469,837.197,850.924,864.652,878.380,714.976,718.238,721.500,724.762,728.024,731.286,734.548,737.810,741.072,744.334,747.596,750.858,586.869,589.546,592.224,594.901,597.579,600.257,602.934,605.612,608.289,610.967,613.644,616.322,451.716,453.777,455.838,457.899,459.960,462.021,464.081,466.142,468.203,470.264,472.325,474.386,309.129,310.540,311.950,313.361,314.771,316.182,317.592,319.002,320.413,321.823,323.234,324.644,158.701,159.425,160.149,160.873,161.597,162.322,163.046,163.770,164.494,165.218,165.942,166.666,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,252.030,260.571,269.112,277.653,286.194,294.735,303.276,311.817,320.358,328.899,337.440,345.981,354.522,363.939,373.356,382.773,392.190,401.607,411.024,420.441,429.858,439.275,448.692,458.109,467.526,477.889,488.253,498.616,508.980,519.343,529.706,540.070,550.433,560.797,571.160,581.524,591.887,603.273,614.658,626.044,637.430,648.815,660.201,671.586,682.972,694.358,705.743,717.129,728.515,741.003,753.492,765.981,778.470,790.958,803.447,815.936,828.425,840.914,853.402,865.891,878.380,714.976,718.238,721.500,724.762,728.024,731.286,734.548,737.810,741.072,744.334,747.596,750.858,586.869,589.546,592.224,594.901,597.579,600.257,602.934,605.612,608.289,610.967,613.644,616.322,451.716,453.777,455.838,457.899,459.960,462.021,464.081,466.142,468.203,470.264,472.325,474.386,309.129,310.540,311.950,313.361,314.771,316.182,317.592,319.002,320.413,321.823,323.234,324.644,158.701,159.425,160.149,160.873,161.597,162.322,163.046,163.770,164.494,165.218,165.942,166.666,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,212.347,219.543,226.739,233.936,241.132,248.328,255.524,262.721,269.917,277.113,284.309,291.506,298.702,306.636,314.570,322.505,330.439,338.373,346.307,354.242,362.176,370.110,378.044,385.979,393.913,402.645,411.376,420.108,428.840,437.572,446.303,455.035,463.767,472.499,481.230,489.962,498.694,508.287,517.880,527.473,537.066,546.659,556.252,565.844,575.437,585.030,594.623,604.216,613.809,624.331,634.854,645.376,655.899,666.421,676.944,687.466,697.988,708.511,719.033,729.556,740.078,751.603,763.129,774.654,786.179,797.704,809.229,820.754,832.279,843.805,855.330,866.855,878.380,714.976,718.238,721.500,724.762,728.024,731.286,734.548,737.810,741.072,744.334,747.596,750.858,586.869,589.546,592.224,594.901,597.579,600.257,602.934,605.612,608.289,610.967,613.644,616.322,451.716,453.777,455.838,457.899,459.960,462.021,464.081,466.142,468.203,470.264,472.325,474.386,309.129,310.540,311.950,313.361,314.771,316.182,317.592,319.002,320.413,321.823,323.234,324.644,158.701,159.425,160.149,160.873,161.597,162.322,163.046,163.770,164.494,165.218,165.942,166.666,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,181.149,187.288,193.427,199.566,205.705,211.844,217.983,224.122,230.261,236.400,242.539,248.677,254.816,261.585,268.354,275.122,281.891,288.659,295.428,302.197,308.965,315.734,322.502,329.271,336.040,343.488,350.937,358.386,365.835,373.284,380.733,388.182,395.630,403.079,410.528,417.977,425.426,433.609,441.793,449.977,458.160,466.344,474.527,482.711,490.894,499.078,507.262,515.445,523.629,532.605,541.582,550.558,559.535,568.511,577.488,586.464,595.441,604.417,613.393,622.370,631.346,641.178,651.010,660.842,670.674,680.506,690.338,700.170,710.002,719.834,729.665,739.497,749.329,760.083,770.838,781.592,792.346,803.100,813.855,824.609,835.363,846.117,856.872,867.626,878.380,714.976,718.238,721.500,724.762,728.024,731.286,734.548,737.810,741.072,744.334,747.596,750.858,586.869,589.546,592.224,594.901,597.579,600.257,602.934,605.612,608.289,610.967,613.644,616.322,451.716,453.777,455.838,457.899,459.960,462.021,464.081,466.142,468.203,470.264,472.325,474.386,309.129,310.540,311.950,313.361,314.771,316.182,317.592,319.002,320.413,321.823,323.234,324.644,158.701,159.425,160.149,160.873,161.597,162.322,163.046,163.770,164.494,165.218,165.942,166.666,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,156.096,161.386,166.676,171.966,177.255,182.545,187.835,193.125,198.415,203.705,208.995,214.285,219.575,225.407,231.240,237.072,242.905,248.737,254.570,260.402,266.234,272.067,277.899,283.732,289.564,295.983,302.402,308.820,315.239,321.658,328.076,334.495,340.914,347.332,353.751,360.170,366.589,373.640,380.692,387.744,394.795,401.847,408.899,415.951,423.002,430.054,437.106,444.157,451.209,458.944,466.679,474.414,482.149,489.884,497.620,505.355,513.090,520.825,528.560,536.295,544.030,552.502,560.974,569.446,577.918,586.390,594.863,603.335,611.807,620.279,628.751,637.223,645.695,654.962,664.229,673.496,682.763,692.030,701.297,710.564,719.831,729.097,738.364,747.631,756.898,767.022,777.145,787.269,797.392,807.516,817.639,827.763,837.886,848.010,858.133,868.257,878.380,714.976,718.238,721.500,724.762,728.024,731.286,734.548,737.810,741.072,744.334,747.596,750.858,586.869,589.546,592.224,594.901,597.579,600.257,602.934,605.612,608.289,610.967,613.644,616.322,451.716,453.777,455.838,457.899,459.960,462.021,464.081,466.142,468.203,470.264,472.325,474.386,309.129,310.540,311.950,313.361,314.771,316.182,317.592,319.002,320.413,321.823,323.234,324.644,158.701,159.425,160.149,160.873,161.597,162.322,163.046,163.770,164.494,165.218,165.942,166.666,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,135.628,140.225,144.821,149.417,154.013,158.610,163.206,167.802,172.399,176.995,181.591,186.187,190.784,195.851,200.919,205.987,211.055,216.122,221.190,226.258,231.325,236.393,241.461,246.529,251.596,257.173,262.750,268.327,273.904,279.481,285.058,290.635,296.212,301.789,307.366,312.943,318.521,324.648,330.775,336.902,343.029,349.156,355.283,361.410,367.538,373.665,379.792,385.919,392.046,398.767,405.488,412.208,418.929,425.650,432.371,439.091,445.812,452.533,459.254,465.975,472.695,480.057,487.418,494.779,502.140,509.502,516.863,524.224,531.586,538.947,546.308,553.669,561.031,569.083,577.134,585.186,593.238,601.290,609.342,617.393,625.445,633.497,641.549,649.601,657.653,666.449,675.245,684.041,692.837,701.633,710.429,719.225,728.021,736.817,745.613,754.410,763.206,772.804,782.401,791.999,801.597,811.195,820.793,830.391,839.989,849.586,859.184,868.782,878.380,714.976,718.238,721.500,724.762,728.024,731.286,734.548,737.810,741.072,744.334,747.596,750.858,586.869,589.546,592.224,594.901,597.579,600.257,602.934,605.612,608.289,610.967,613.644,616.322,451.716,453.777,455.838,457.899,459.960,462.021,464.081,466.142,468.203,470.264,472.325,474.386,309.129,310.540,311.950,313.361,314.771,316.182,317.592,319.002,320.413,321.823,323.234,324.644,158.701,159.425,160.149,160.873,161.597,162.322,163.046,163.770,164.494,165.218,165.942,166.666,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,118.668,122.690,126.712,130.733,134.755,138.776,142.798,146.819,150.841,154.862,158.884,162.906,166.927,171.361,175.795,180.229,184.663,189.097,193.531,197.965,202.399,206.833,211.267,215.701,220.135,225.015,229.894,234.774,239.654,244.533,249.413,254.293,259.172,264.052,268.932,273.812,278.691,284.052,289.413,294.774,300.135,305.496,310.857,316.218,321.578,326.939,332.300,337.661,343.022,348.902,354.783,360.663,366.544,372.424,378.305,384.185,390.065,395.946,401.826,407.707,413.587,420.028,426.469,432.909,439.350,445.791,452.232,458.672,465.113,471.554,477.994,484.435,490.876,497.921,504.966,512.011,519.056,526.101,533.146,540.191,547.236,554.281,561.326,568.371,575.416,583.112,590.809,598.505,606.201,613.897,621.593,629.289,636.986,644.682,652.378,660.074,667.770,676.168,684.566,692.963,701.361,709.759,718.157,726.554,734.952,743.350,751.747,760.145,768.543,777.696,786.849,796.002,805.155,814.308,823.461,832.614,841.768,850.921,860.074,869.227,878.380,714.976,718.238,721.500,724.762,728.024,731.286,734.548,737.810,741.072,744.334,747.596,750.858,586.869,589.546,592.224,594.901,597.579,600.257,602.934,605.612,608.289,610.967,613.644,616.322,451.716,453.777,455.838,457.899,459.960,462.021,464.081,466.142,468.203,470.264,472.325,474.386,309.129,310.540,311.950,313.361,314.771,316.182,317.592,319.002,320.413,321.823,323.234,324.644,158.701,159.425,160.149,160.873,161.597,162.322,163.046,163.770,164.494,165.218,165.942,166.666,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,104.448,107.987,111.527,115.066,118.606,122.146,125.685,129.225,132.764,136.304,139.844,143.383,146.923,150.826,154.728,158.631,162.533,166.436,170.339,174.241,178.144,182.047,185.949,189.852,193.755,198.050,202.344,206.639,210.934,215.229,219.524,223.819,228.114,232.409,236.704,240.998,245.293,250.012,254.730,259.449,264.167,268.886,273.604,278.323,283.041,287.760,292.478,297.197,301.916,307.091,312.267,317.442,322.618,327.794,332.969,338.145,343.321,348.496,353.672,358.848,364.023,369.692,375.361,381.030,386.699,392.368,398.037,403.706,409.375,415.044,420.713,426.382,432.051,438.251,444.452,450.653,456.854,463.054,469.255,475.456,481.656,487.857,494.058,500.259,506.459,513.233,520.007,526.781,533.555,540.329,547.103,553.877,560.651,567.425,574.199,580.973,587.747,595.138,602.529,609.921,617.312,624.703,632.095,639.486,646.877,654.269,661.660,669.051,676.443,684.499,692.555,700.611,708.668,716.724,724.780,732.836,740.892,748.949,757.005,765.061,773.117,781.889,790.661,799.433,808.205,816.977,825.749,834.521,843.292,852.064,860.836,869.608,878.380,714.976,718.238,721.500,724.762,728.024,731.286,734.548,737.810,741.072,744.334,747.596,750.858,586.869,589.546,592.224,594.901,597.579,600.257,602.934,605.612,608.289,610.967,613.644,616.322,451.716,453.777,455.838,457.899,459.960,462.021,464.081,466.142,468.203,470.264,472.325,474.386,309.129,310.540,311.950,313.361,314.771,316.182,317.592,319.002,320.413,321.823,323.234,324.644,158.701,159.425,160.149,160.873,161.597,162.322,163.046,163.770,164.494,165.218,165.942,166.666,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
